iter	Logloss
0	0.6713822028
1	0.656179108
2	0.6416220489
3	0.6241313852
4	0.6081216924
5	0.5957975621
6	0.5817310965
7	0.5676078987
8	0.5551634834
9	0.5457091139
10	0.5363067766
11	0.5257481977
12	0.5163782667
13	0.5097687479
14	0.501261266
15	0.4926288803
16	0.4858369779
17	0.4781852928
18	0.4726544652
19	0.4688325192
20	0.4652441429
21	0.4614129456
22	0.4568034858
23	0.4512896073
24	0.4465388628
25	0.4422465095
26	0.4392071554
27	0.4354678569
28	0.4319872995
29	0.4281071622
30	0.4251881691
31	0.4232257572
32	0.4201792069
33	0.418306504
34	0.4170959943
35	0.414765189
36	0.4128798159
37	0.4102961553
38	0.4092498455
39	0.4082152037
40	0.4057674829
41	0.4046256441
42	0.4031689268
43	0.4015048903
44	0.4002775521
45	0.3987194535
46	0.3971814299
47	0.3961735105
48	0.3954718528
49	0.3942061191
50	0.3936229246
51	0.3917740416
52	0.390881599
53	0.389405763
54	0.388987376
55	0.387921115
56	0.3874658585
57	0.3868805852
58	0.3858502332
59	0.3846918661
60	0.3837881485
61	0.3826595357
62	0.3818318504
63	0.3813453024
64	0.3806543347
65	0.3794635322
66	0.3790651344
67	0.3785206003
68	0.377993569
69	0.3775079748
70	0.3768245379
71	0.3763364628
72	0.3751961107
73	0.374233101
74	0.3734880266
75	0.3730491019
76	0.3721854905
77	0.3717576255
78	0.3716387556
79	0.3711515712
80	0.3705771387
81	0.3703591342
82	0.3694140314
83	0.3688134457
84	0.3680770899
85	0.3674994588
86	0.3671263835
87	0.3667572307
88	0.3662309331
89	0.3661002784
90	0.3653436763
91	0.3647700908
92	0.3644365277
93	0.363771878
94	0.363060253
95	0.3628105028
96	0.3624648332
97	0.3621408078
98	0.3617678666
99	0.3614301237
100	0.361081821
101	0.3606456567
102	0.3600478982
103	0.3595032357
104	0.3587360118
105	0.3581253402
106	0.3575154706
107	0.3570263207
108	0.3564484247
109	0.3562463294
110	0.3556744181
111	0.3554453339
112	0.3553304394
113	0.3548512918
114	0.3545554427
115	0.354312215
116	0.3540580204
117	0.3537226948
118	0.353426361
119	0.3525589794
120	0.3520165124
121	0.3515127945
122	0.3510730496
123	0.3509319172
124	0.3505489029
125	0.3502080527
126	0.3498118414
127	0.3497641185
128	0.3493500547
129	0.3488213069
130	0.3484201373
131	0.34804589
132	0.3475297983
133	0.3470180545
134	0.3469016523
135	0.3465881641
136	0.3460684504
137	0.3456906986
138	0.34535306
139	0.3448981323
140	0.3447867938
141	0.3443236414
142	0.3438999691
143	0.3435327708
144	0.3431378211
145	0.3427876039
146	0.3425957458
147	0.3423533224
148	0.3420278354
149	0.3419247237
150	0.3415669538
151	0.3414789328
152	0.3413633637
153	0.3413148898
154	0.3409617138
155	0.3408226784
156	0.3404772777
157	0.3403996978
158	0.3400578518
159	0.3398567697
160	0.3397659723
161	0.3394012603
162	0.3391740963
163	0.3386748487
164	0.3383691614
165	0.3382643658
166	0.3379576276
167	0.3373776009
168	0.3371516488
169	0.336873832
170	0.3365838594
171	0.3363803559
172	0.3360971173
173	0.3356963882
174	0.3355808465
175	0.3354060352
176	0.3349581252
177	0.33483032
178	0.3344738379
179	0.3343019895
180	0.3339440805
181	0.3335715265
182	0.3334554424
183	0.3329278394
184	0.3327885228
185	0.3324687626
186	0.3324313772
187	0.3321156411
188	0.3320369976
189	0.3319990039
190	0.3319485609
191	0.3316082972
192	0.3313776799
193	0.3311296225
194	0.3310945238
195	0.3308406713
196	0.3306828644
197	0.3306038948
198	0.3303088869
199	0.3300703906
200	0.3298052154
201	0.3296477409
202	0.3296019361
203	0.3295704538
204	0.3295384952
205	0.329202432
206	0.3291465826
207	0.3291003744
208	0.3289613971
209	0.328903766
210	0.3288584141
211	0.3288123623
212	0.3286315633
213	0.3285899081
214	0.3283417415
215	0.3283046454
216	0.3282791599
217	0.3282370745
218	0.3281980353
219	0.3280344753
220	0.3276705741
221	0.3274356139
222	0.327223341
223	0.3271842779
224	0.3271364411
225	0.3271137531
226	0.3270772268
227	0.3270313669
228	0.3269870911
229	0.3266401262
230	0.3265909641
231	0.326561075
232	0.3261811861
233	0.3256398934
234	0.3256159464
235	0.3255825766
236	0.3255502661
237	0.3255095228
238	0.3254694931
239	0.325439642
240	0.325409877
241	0.3253722873
242	0.3248910929
243	0.3248446723
244	0.3248169177
245	0.3247903309
246	0.3246640855
247	0.3242623656
248	0.3242311838
249	0.3238413927
250	0.3238149619
251	0.3235366813
252	0.3235026627
253	0.3234703482
254	0.323437357
255	0.3234077384
256	0.3233737202
257	0.3233498247
258	0.3233224961
259	0.3233062604
260	0.3231823038
261	0.3231557453
262	0.3231384687
263	0.3231098
264	0.3226917894
265	0.3226713876
266	0.322360886
267	0.3223411268
268	0.3223168663
269	0.3222980124
0.2983695348
